"num_events","num_tunnels","continuation"
1007.33333333333333332326,3,0.0
19081.83333333333333330386,16,0.1
11692.52142857142857140440,11,0.2
30226.39166666666666649962,38,0.3
31517.21309523809523802025,37,0.4
24025.96666666666666658868,25,0.5
31124.11190476190476178922,32,0.6
28997.47619047619047602370,39,0.7
24044.81904761904761897474,28,0.8
45154.53095238095238066024,44,0.9
46800.19999999999999981444,51,1.0
8265.84642857142857142342,7,1.1
9826.63928571428571421504,6,1.2
5157.56666666666666662290,3,1.3
8260.61666666666666666690,9,1.4
8552.36666666666666665794,14,1.5
2944.66666666666666663722,2,1.6
425.03333333333333333341,0,1.8
361.86666666666666666690,0,1.9
2616.00000000000000000000,0,NULL
