"num_events","num_tunnels","martyrdom"
3705.58333333333333332326,6,0.0
9005.04999999999999995631,10,0.1
19891.46309523809523795065,18,0.2
19331.14523809523809511253,11,0.3
25313.04047619047619036176,26,0.4
33068.32142857142857128584,47,0.5
47999.09047619047619029685,58,0.6
36420.48690476190476183265,31,0.7
25932.72976190476190468169,35,0.8
37666.32261904761904748721,32,0.9
24100.39999999999999990699,28,1.0
23284.81190476190476182339,28,1.1
18430.21666666666666660937,21,1.2
10722.59880952380952372660,13,1.3
768.83928571428571427104,0,1.4
1826.90000000000000000000,1,1.5
935.00000000000000000000,0,NULL
