"num_events","num_tunnels","moxie"
3182.66666666666666663484,3,0.0
6749.06666666666666666627,9,0.1
16869.87976190476190468123,16,0.2
32954.76666666666666649996,29,0.3
17490.45833333333333330280,21,0.4
33471.18690476190476174321,49,0.5
54433.16071428571428548491,59,0.6
25428.70238095238095232253,33,0.7
27012.37023809523809514186,29,0.8
41243.50595238095238075467,43,0.9
19575.88214285714285708446,17,1.0
18602.15714285714285707033,13,1.1
12488.89642857142857136712,14,1.2
9159.89999999999999996398,14,1.3
8078.99999999999999994623,5,1.4
872.66666666666666665794,4,1.5
9065.83333333333333330349,7,1.6
786.90000000000000000031,0,1.8
