"num_events","num_tunnels","musclitude"
1653.53333333333333332326,3,0.0
6311.44999999999999996537,4,0.1
11152.87976190476190472954,12,0.2
27866.79999999999999986142,18,0.3
30136.04404761904761891862,42,0.4
23656.64523809523809513176,28,0.5
45403.39285714285714272797,42,0.6
23306.74285714285714278357,37,0.7
34312.23571428571428556163,31,0.8
28866.42976190476190465742,24,0.9
21692.70952380952380940433,25,1.0
37271.18214285714285698118,37,1.1
9311.75595238095238093731,7,1.2
20711.17976190476190464894,35,1.3
2399.28571428571428568599,6,1.4
7605.83333333333333330752,9,1.5
5022.00000000000000000000,5,1.7
425.03333333333333333341,0,1.8
361.86666666666666666690,0,1.9
2401.00000000000000000000,0,NULL
