"num_events","num_tunnels","ruthlessness"
1007.33333333333333332326,3,0.0
1336.57142857142857142490,4,0.3
9112.10119047619047614958,13,0.4
2715.13333333333333333344,3,0.5
17544.67499999999999987370,20,0.6
13155.17976190476190475472,9,0.7
16773.51666666666666658059,21,0.8
32740.53333333333333316395,28,0.9
60865.65357142857142831130,71,1.0
63703.71547619047619019258,54,1.1
52774.97261904761904738934,58,1.2
41936.55952380952380944768,54,1.3
10769.31547619047619045156,12,1.4
6503.40595238095238093438,6,1.5
2711.00000000000000000000,3,1.6
872.66666666666666665794,4,1.7
2944.66666666666666663722,2,1.8
