unthwck,omni,contact,hit_rate
0.75,0.39,1,0
0.32,0.62,1,0
1.02,0.66,1,0
0.21,0.85,1,1
1.04,0.72,1,0
0.88,0.39,1,0
0.92,0.39,1,0
0.72,0.71,1,0
1.28,0.47,1,0
0.46,0.41,2,0.5
0.71,0.67,2,0
0.77,0.81,2,1
0.5,0.74,2,0
0.31,0.59,2,0.5
0.78,0.6,2,0
0.51,0.75,2,0
0.26,0.67,2,0.5
0.98,0.41,2,0.5
1.09,0.54,2,0
0.47,0.43,2,0.5
0.85,0.7,2,1
0.47,0.74,2,0
1.1,0.77,2,0.5
1.72,0.64,2,0
1.12,0.56,2,0
0.82,0.32,2,0.5
0.33,0.52,3,0.666666666666667
0.53,0.54,3,0
0.25,0.4,3,0.666666666666667
0.82,0.35,3,0.333333333333333
0.99,0.64,3,0.333333333333333
1.24,0.51,3,0
0.56,0.62,3,0.333333333333333
0.14,0.34,3,0
0.66,0.68,3,0.333333333333333
0.59,0.61,3,0.333333333333333
0.26,0.39,3,0
1.07,0.48,3,0
0.71,0.7,3,0.333333333333333
0.86,0.86,3,1
1,0.42,3,0
0.28,0.58,3,0.666666666666667
0.51,0.38,3,0
0.8,0.48,4,0.75
0.21,0.46,4,0.5
0.66,0.62,4,0.25
0.93,0.46,4,0.25
0.93,0.38,4,0.5
1.08,0.47,4,0.5
1.42,0.55,4,0
0.83,0.56,4,0
0.49,0.63,4,0
0.79,0.77,4,0.25
1.23,0.79,4,0.25
0.75,0.5,4,0
0.58,0.73,4,0.25
0.59,0.56,4,0.5
0.5,0.44,5,0.2
0.49,0.42,5,0.2
1.54,0.62,5,0.4
0.96,0.63,5,0.2
0.49,0.34,5,0.6
0.67,0.49,5,0.2
1.32,0.64,5,0.2
1.01,0.63,5,0.2
1.43,0.74,5,0
1.27,0.57,5,0
1.16,0.47,5,0.2
1.22,0.79,6,0.333333333333333
0.34,0.35,6,0.666666666666667
1.32,0.66,6,0
0.51,0.44,6,0.333333333333333
1.2,0.65,6,0.666666666666667
0.68,0.55,6,0
0.76,0.64,6,0.333333333333333
0.79,0.76,6,0.333333333333333
0.84,0.69,6,0.166666666666667
0.86,0.58,6,0.166666666666667
0.9,0.58,6,0.5
0.96,0.69,6,0
1.04,0.65,6,0.333333333333333
1.84,0.67,6,0.5
1.27,0.58,7,0.142857142857143
0.59,0.41,7,0.285714285714286
0.57,0.74,7,0.285714285714286
0.75,0.55,7,0.142857142857143
0.76,0.78,7,0.571428571428571
0.61,0.42,7,0.428571428571429
0.49,0.86,7,0.285714285714286
0.49,0.52,7,0.142857142857143
0.84,0.75,7,0.571428571428571
0.48,0.71,7,0
0.45,0.34,7,0.714285714285714
1.42,0.59,7,0.285714285714286
1.07,0.76,7,0
1.97,0.64,7,0.142857142857143
0.92,0.48,7,0.428571428571429
0.32,0.46,7,0.285714285714286
0.15,0.41,7,0.285714285714286
0.14,0.3,7,0.714285714285714
0.97,0.24,7,0.571428571428571
1.04,0.45,7,0
1.18,0.6,7,0
0.64,0.54,8,0.5
0.64,0.69,8,0.5
0.66,0.75,8,0.5
0.96,0.7,8,0.375
0.48,0.83,8,0.375
0.98,0.89,8,0.25
0.84,0.73,8,0.125
0.56,0.59,8,0.375
1.03,0.83,8,0
0.85,0.38,8,0.5
0.47,0.68,8,0.25
0.15,0.48,8,0.25
0.32,0.59,8,0.5
0.73,0.64,8,0.25
1.97,0.65,8,0.25
0.88,0.4,8,0.25
0.82,0.69,9,0.444444444444444
0.83,0.4,9,0.222222222222222
0.41,0.54,9,0.333333333333333
0.89,0.69,9,0.444444444444444
0.07,0.66,9,0.222222222222222
1.16,0.31,9,0.111111111111111
0.55,0.56,9,0.222222222222222
1.13,0.58,9,0.444444444444444
1.03,0.86,9,0.333333333333333
1.19,0.5,10,0.1
0.81,0.76,10,0.3
1.15,0.66,10,0.3
0.86,0.44,10,0.2
0.23,0.67,10,0.7
0.43,0.57,10,0.4
0.66,0.58,10,0.3
0.76,0.61,10,0.4
0.38,0.46,10,0.1
1.02,0.37,10,0.5
1.1,0.33,10,0.7
1.31,0.65,10,0.2
0.38,0.86,10,0.2
1.41,0.53,11,0.272727272727273
0.86,0.82,11,0.090909090909091
0.99,0.48,11,0.363636363636364
0.95,0.57,11,0.363636363636364
1.02,0.55,11,0.272727272727273
1.72,0.65,11,0.090909090909091
0.09,0.65,11,0.454545454545455
0.04,0.55,11,0.363636363636364
1.15,0.65,11,0.272727272727273
0.17,0.41,11,0.272727272727273
0.88,0.37,11,0
0.66,0.73,11,0.363636363636364
0.28,0.49,12,0.416666666666667
1.91,0.62,12,0
1.43,0.58,12,0.166666666666667
1.25,0.65,12,0
1.08,0.58,12,0.333333333333333
1.02,0.8,12,0.083333333333333
0.14,0.74,12,0.416666666666667
0.93,0.72,12,0.666666666666667
0.85,0.77,12,0.5
0.78,0.69,12,0.333333333333333
0.58,0.72,12,0.166666666666667
1.1,0.5,13,0.153846153846154
0.47,0.44,13,0.153846153846154
0.07,0.51,13,0.307692307692308
0.71,0.63,13,0.307692307692308
0.35,0.61,13,0.538461538461538
0.81,0.88,13,0.538461538461538
0.32,0.6,13,0.230769230769231
0.83,0.73,13,0.307692307692308
0.93,0.8,13,0.384615384615385
0.49,0.32,13,0.076923076923077
0.97,0.53,13,0.384615384615385
1.17,0.76,13,0.307692307692308
0.71,0.69,13,0.538461538461538
1.34,0.72,13,0.230769230769231
0.41,0.55,14,0.5
1.1,0.81,14,0
0.57,0.68,14,0.214285714285714
1.16,0.32,14,0.357142857142857
0.85,0.54,14,0.357142857142857
1,0.56,14,0.357142857142857
0.38,0.85,14,0.428571428571429
0.86,0.74,14,0.214285714285714
0.95,0.36,14,0.428571428571429
0.18,0.6,14,0.285714285714286
1.55,0.65,14,0.071428571428572
1.07,0.47,14,0.285714285714286
0.64,0.61,14,0.285714285714286
0.87,0.62,14,0.428571428571429
0.41,0.4,14,0.571428571428571
0.5,0.86,14,0.571428571428571
1.02,0.71,14,0.428571428571429
0.45,0.78,14,0.428571428571429
0.04,0.57,15,0.133333333333333
0.99,0.72,15,0.133333333333333
1.07,0.42,15,0.2
0.55,0.88,15,0.333333333333333
0.42,0.57,15,0.2
0.44,0.4,15,0.4
0.55,0.43,15,0.333333333333333
1.02,0.51,15,0.266666666666667
0.5,0.84,15,0.6
1.18,0.64,15,0.266666666666667
0.49,0.84,15,0.333333333333333
1.21,0.43,15,0.2
0.33,0.64,15,0.2
1.1,0.65,15,0.266666666666667
0.38,0.75,15,0.266666666666667
0.86,0.67,15,0.333333333333333
1.31,0.69,15,0.2
0.26,0.3,15,0.4
0.94,0.39,15,0.266666666666667
0.87,0.48,15,0.133333333333333
1.54,0.83,16,0.1875
0.74,0.79,16,0.1875
0.67,0.56,16,0.4375
0.67,0.64,16,0.25
0.98,0.63,16,0.1875
0.35,0.62,16,0.4375
0.28,0.62,16,0.1875
0.38,0.9,16,0.5625
0.28,0.61,16,0.375
1.02,0.57,16,0.25
0.42,0.5,16,0.25
0.91,0.75,16,0.25
1.07,0.56,16,0.1875
0.28,0.6,16,0.1875
1.25,0.75,16,0.3125
1.24,0.5,16,0.375
1.22,0.55,16,0.1875
1.16,0.66,16,0.25
0.87,0.69,17,0.176470588235294
0.37,0.73,17,0.411764705882353
0.19,0.57,17,0.352941176470588
0.98,0.64,17,0.294117647058823
0.85,0.64,17,0.294117647058823
0.96,0.9,17,0.176470588235294
0.34,0.38,17,0.117647058823529
0.97,0.66,17,0.294117647058823
1.21,0.62,17,0.117647058823529
0.67,0.5,17,0.294117647058823
1.22,0.7,17,0.294117647058823
0.56,0.86,17,0.117647058823529
1.01,0.44,17,0.176470588235294
0.19,0.31,17,0.470588235294118
0.04,0.53,17,0.352941176470588
1.09,0.7,18,0.222222222222222
1.42,0.61,18,0.277777777777778
0.33,0.57,18,0.5
0.15,0.61,18,0.277777777777778
0.93,0.75,18,0.333333333333333
0.48,0.53,18,0.277777777777778
0.37,0.81,18,0.388888888888889
0.75,0.76,18,0.166666666666667
1.1,0.8,18,0.222222222222222
1.1,0.82,18,0.222222222222222
0.35,0.7,18,0.111111111111111
0.2,0.51,18,0.166666666666667
0.82,0.41,18,0.222222222222222
0.23,0.66,18,0.277777777777778
0.07,0.36,18,0.444444444444444
0.69,0.75,18,0.277777777777778
1.24,0.49,18,0.277777777777778
0.21,0.39,18,0.222222222222222
0.55,0.51,18,0.111111111111111
1.22,0.81,18,0.222222222222222
0.07,0.44,18,0.277777777777778
1.16,0.68,18,0.166666666666667
0.61,0.43,18,0.222222222222222
0.63,0.63,18,0.277777777777778
0.73,0.83,18,0.388888888888889
1.55,0.7,18,0.166666666666667
0.99,0.81,18,0.166666666666667
0.38,0.74,19,0.210526315789474
0.09,0.56,19,0.263157894736842
1.36,0.79,19,0.368421052631579
1.23,0.76,19,0.315789473684211
0.55,0.68,19,0.368421052631579
0.96,0.58,19,0.263157894736842
0.47,0.5,19,0.263157894736842
0.75,0.84,19,0.473684210526316
0.38,0.82,19,0.263157894736842
1.16,0.79,19,0.210526315789474
1.06,0.45,19,0.526315789473684
0.36,0.38,19,0.315789473684211
1.19,0.59,19,0.473684210526316
0.75,0.83,19,0.263157894736842
0.97,0.51,19,0.368421052631579
0.5,0.79,19,0.315789473684211
0.36,0.68,19,0.263157894736842
