,safe,danger1,danger2,danger3,danger4,danger5,danger6,danger7
105bc3ff-1320-4e37-8ef0-8d595cb95dd0,907,77,20,68,23,59.0,73.0,4.0
23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7,1042,153,9,7,20,0.0,0.0,0.0
36569151-a2fb-43c1-9df7-2df512424c82,847,173,24,5,8,173.0,1.0,0.0
3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e,807,266,77,30,18,33.0,0.0,0.0
46358869-dce9-4a01-bfba-ac24fc56f57e,996,172,23,9,4,27.0,0.0,0.0
57ec08cc-0411-4643-b304-0e80dbc15ac7,1156,44,9,19,3,0.0,0.0,0.0
747b8e4a-7e50-4638-a973-ea7950a3e739,781,335,38,34,9,34.0,0.0,0.0
7966eb04-efcc-499b-8f03-d13916330531,885,301,9,5,4,27.0,0.0,0.0
878c1bf6-0d21-4659-bfee-916c8314d69c,1013,168,23,7,20,0.0,0.0,0.0
8d87c468-699a-47a8-b40d-cfb73a5660ad,792,359,41,13,4,22.0,0.0,0.0
979aee4a-6d80-4863-bf1c-ee1a78e06024,1037,103,7,5,4,75.0,0.0,0.0
9debc64f-74b7-4ae1-a4d6-fce0144b6ea5,892,278,38,20,3,0.0,0.0,0.0
a37f9158-7f82-46bc-908c-c9e2dda7c33b,1001,143,16,8,23,40.0,0.0,0.0
adc5b394-8f76-416d-9ce9-813706877b84,1030,95,9,7,10,80.0,0.0,0.0
b024e975-1c4a-4575-8936-a3754a08806a,862,260,32,33,13,31.0,0.0,0.0
b63be8c2-576a-4d6e-8daf-814f8bcea96f,1088,110,10,4,19,0.0,0.0,0.0
b72f3061-f573-40d7-832a-5ad475bd7909,1120,68,9,11,22,1.0,0.0,0.0
bb4a9de5-c924-4923-a0cb-9d1445f1ee5d,843,310,58,12,1,4.0,1.0,2.0
bfd38797-8404-4b38-8b82-341da28b1f83,933,250,17,2,6,23.0,0.0,0.0
c73b705c-40ad-4633-a6ed-d357ee2e2bcf,1061,136,11,19,4,0.0,0.0,0.0
ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,1068,121,6,2,5,29.0,0.0,0.0
d9f89a8a-c563-493e-9d64-78e4f9a55d4a,1026,104,2,1,10,88.0,0.0,0.0
eb67ae5e-c4bf-46ca-bbbc-425cd34182ff,929,198,7,9,24,64.0,0.0,0.0
f02aeae2-5e6a-4098-9842-02d2273f25c7,946,231,22,7,5,20.0,0.0,0.0
2e22beba-8e36-42ba-a8bf-975683c52b5f,160,7,7,5,15,65.0,0.0,0.0
b47df036-3aa4-4b98-8e9e-fe1d3ff1894b,68,1,5,5,17,0.0,0.0,0.0
