"season","event_type","count"
1,"CAUGHT_STEALING",31
1,"DOUBLE",29
1,"FIELDERS_CHOICE",124
1,"HOME_RUN",62
1,"OUT",1044
1,"SACRIFICE",26
1,"SINGLE",389
1,"STOLEN_BASE",32
1,"STRIKEOUT",241
1,"TRIPLE",48
1,"UNKNOWN_OUT",30
1,"WALK",165
2,"CAUGHT_STEALING",1165
2,"DOUBLE",1073
2,"FIELDERS_CHOICE",4423
2,"HOME_RUN",2357
2,"OUT",36345
2,"SACRIFICE",1031
2,"SINGLE",13253
2,"STOLEN_BASE",783
2,"STRIKEOUT",9909
2,"TRIPLE",2115
2,"UNKNOWN",1025
2,"UNKNOWN_OUT",152
2,"WALK",4790
3,"CAUGHT_STEALING",860
3,"DOUBLE",1932
3,"FIELDERS_CHOICE",3767
3,"HOME_RUN",2240
3,"OUT",34780
3,"SACRIFICE",928
3,"SINGLE",11429
3,"STOLEN_BASE",1554
3,"STRIKEOUT",10783
3,"TRIPLE",1795
3,"UNKNOWN",458
3,"UNKNOWN_OUT",1768
3,"WALK",4402
4,"CAUGHT_STEALING",891
4,"DOUBLE",1945
4,"FIELDERS_CHOICE",3907
4,"HOME_RUN",2392
4,"OUT",37285
4,"SACRIFICE",955
4,"SINGLE",11743
4,"STOLEN_BASE",1696
4,"STRIKEOUT",11169
4,"TRIPLE",1812
4,"UNKNOWN",176
4,"UNKNOWN_OUT",488
4,"WALK",4576
5,"CAUGHT_STEALING",879
5,"DOUBLE",1888
5,"FIELDERS_CHOICE",3732
5,"HOME_RUN",2681
5,"OUT",36965
5,"SACRIFICE",968
5,"SHELLED_ATBAT",33
5,"SINGLE",11405
5,"STOLEN_BASE",1688
5,"STRIKEOUT",11130
5,"TRIPLE",1759
5,"UNKNOWN",153
5,"UNKNOWN_OUT",326
5,"WALK",4295
6,"CAUGHT_STEALING",868
6,"DOUBLE",1830
6,"FIELDERS_CHOICE",3795
6,"HIT_BY_PITCH",34
6,"HOME_RUN",2766
6,"OUT",37473
6,"SACRIFICE",1008
6,"SHELLED_ATBAT",662
6,"SINGLE",11532
6,"STOLEN_BASE",1861
6,"STRIKEOUT",11257
6,"TRIPLE",1719
6,"UNKNOWN",174
6,"UNKNOWN_OUT",305
6,"WALK",4215
7,"CAUGHT_STEALING",812
7,"DOUBLE",1831
7,"FIELDERS_CHOICE",3561
7,"HIT_BY_PITCH",33
7,"HOME_RUN",2659
7,"OUT",37549
7,"SACRIFICE",978
7,"SHELLED_ATBAT",470
7,"SINGLE",11620
7,"STOLEN_BASE",1788
7,"STRIKEOUT",11494
7,"TRIPLE",1636
7,"UNKNOWN",72
7,"UNKNOWN_OUT",162
7,"WALK",3926
8,"CAUGHT_STEALING",800
8,"DOUBLE",1891
8,"FIELDERS_CHOICE",3545
8,"HIT_BY_PITCH",36
8,"HOME_RUN",2754
8,"OUT",38154
8,"SACRIFICE",1032
8,"SHELLED_ATBAT",1340
8,"SINGLE",11851
8,"STOLEN_BASE",1817
8,"STRIKEOUT",11545
8,"TRIPLE",1792
8,"UNKNOWN",97
8,"UNKNOWN_OUT",75
8,"WALK",3769
9,"BLACK_HOLE",1
9,"CAUGHT_STEALING",1194
9,"CHARM_STRIKEOUT",90
9,"CHARM_WALK",97
9,"DOUBLE",1797
9,"FIELDERS_CHOICE",3142
9,"HOME_RUN",706
9,"HOME_RUN_5",2079
9,"OUT",37790
9,"QUADRUPLE",326
9,"SACRIFICE",603
9,"SINGLE",11078
9,"STOLEN_BASE",2917
9,"STRIKEOUT",12071
9,"TRIPLE",1680
9,"UNKNOWN",104
9,"UNKNOWN_OUT",116
9,"WALK",3555
9,"WILD_PITCH",8
10,"BLACK_HOLE",123
10,"CAUGHT_STEALING",883
10,"CHARM_STRIKEOUT",57
10,"CHARM_WALK",74
10,"DOUBLE",2093
10,"FIELDERS_CHOICE",3474
10,"HOME_RUN",3159
10,"OUT",38516
10,"SACRIFICE",1191
10,"SINGLE",12362
10,"STOLEN_BASE",2052
10,"STRIKEOUT",10692
10,"SUN_2",137
