season,BLACK_HOLE,CAUGHT_STEALING,CHARM_STRIKEOUT,CHARM_WALK,DOUBLE,ELSEWHERE_ATBAT,FIELDERS_CHOICE,HIT_BY_PITCH,HOME_RUN,HOME_RUN_5,IMMATERIA_SWEPT,MIND_TRICK_STRIKEOUT,OUT,SACRIFICE,SECRET_BASE_ENTER,SECRET_BASE_EXIT,SHELLED_ATBAT,SINGLE,STOLEN_BASE,STRIKEOUT,SUN_2,TRIPLE,UNKNOWN,UNKNOWN_OUT,WALK,WILD_PITCH
2,0,52,0,0,36,0,169,0,135,0,0,0,1738,37,0,0,0,486,29,591,0,123,53,10,188,0
3,0,44,0,0,85,0,187,0,136,0,0,0,1693,41,0,0,0,450,62,505,0,93,23,83,229,0
4,0,35,0,0,86,0,187,0,149,0,0,0,1888,42,0,0,0,540,60,620,0,108,9,25,177,0
5,0,51,0,0,87,0,152,0,191,0,0,0,1993,92,0,0,0,523,215,543,0,130,4,9,232,0
6,0,36,0,0,79,0,163,0,209,0,0,0,2027,84,0,0,417,490,251,543,0,131,19,20,223,0
7,0,55,0,0,85,0,148,0,168,0,0,0,2076,83,0,0,439,536,241,590,0,126,4,4,261,0
8,0,57,0,0,85,0,167,0,201,0,0,0,2133,99,0,0,403,545,199,522,0,140,6,4,247,0
9,1,45,15,0,92,0,182,0,200,0,0,0,1986,76,0,0,0,573,199,532,0,136,6,8,239,0
12,0,66,2,0,90,0,123,0,130,0,16,0,1721,44,0,0,0,406,249,961,0,63,1,0,335,0
13,0,52,1,0,83,364,84,0,121,0,35,0,1479,36,0,0,0,345,191,1237,0,69,0,0,201,1
14,0,50,10,0,152,119,88,5,185,0,4,0,1650,74,5,5,0,411,211,988,0,103,9,0,213,1
15,2,45,7,0,134,235,156,0,159,0,5,0,1751,79,15,12,0,446,138,620,0,125,4,3,184,0
16,2,34,4,0,133,487,94,0,156,0,2,0,1775,61,17,13,0,422,88,662,0,94,9,0,120,1
17,0,37,0,0,117,2,75,0,161,0,1,0,1906,53,13,10,0,384,105,765,1,111,10,0,101,1
18,0,48,9,1,122,540,125,0,145,0,8,0,1917,63,16,11,0,470,127,479,4,111,32,0,228,1
19,1,33,1,0,115,192,115,0,187,0,6,0,1878,73,23,15,0,510,150,555,2,80,111,1,162,0
20,3,48,4,1,137,29,82,0,185,5,2,0,2162,92,23,15,0,513,195,428,3,104,109,0,143,1
21,2,37,4,0,180,210,109,0,142,5,4,1,2108,80,42,33,0,536,185,381,1,88,98,0,130,0
22,0,11,0,0,40,142,18,0,49,0,4,0,558,20,7,5,0,131,82,167,0,32,39,0,48,0
