,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
San Francisco Lovers,29.0,59.0,49.0,65.0,53.0,55.0,35.0,47.0,65.0,48.0,38,46,56,35,48,37,41,-43,34,48,69,52,35
LA Unlimited Tacos,45.0,38.0,30.0,23.0,32.0,40.0,37.0,33.0,51.0,60.0,41,68,61,57,66,59,59,-55,65,80,58,55,32
Dallas Steaks,72.0,55.0,56.0,51.0,48.0,46.0,59.0,52.0,41.0,51.0,35,56,52,54,73,65,53,-49,72,46,51,57,37
Kansas City Breath Mints,41.0,49.0,48.0,51.0,55.0,60.0,34.0,51.0,56.0,45.0,49,33,52,54,56,42,50,-50,75,46,81,44,0
Chicago Firefighters,60.0,35.0,61.0,60.0,50.0,50.0,46.0,44.0,45.0,59.0,52,64,46,47,53,57,25,-56,48,56,70,68,11
Charleston Shoe Thieves,50.0,60.0,51.0,46.0,48.0,56.0,49.0,62.0,65.0,59.0,42,42,36,44,44,52,39,-38,46,50,64,67,30
Boston Flowers,51.0,42.0,44.0,40.0,51.0,28.0,52.0,57.0,50.0,48.0,48,53,50,44,52,43,66,-41,37,58,46,49,41
Hawai'i Fridays,45.0,48.0,44.0,48.0,31.0,39.0,36.0,21.0,30.0,49.0,58,59,45,44,51,56,59,-60,69,76,49,52,0
Yellowstone Magic,49.0,53.0,49.0,45.0,43.0,46.0,29.0,35.0,32.0,45.0,46,55,65,53,53,71,54,-37,43,64,42,48,29
New York Millennials,44.0,65.0,58.0,64.0,51.0,55.0,50.0,44.0,47.0,40.0,55,56,49,63,22,38,31,-53,52,67,58,67,28
Baltimore Crabs,49.0,44.0,52.0,65.0,80.0,67.0,74.0,71.0,69.0,,0,59,37,71,43,40,54,-51,53,78,84,60,16
Philly Pies,61.0,53.0,53.0,46.0,60.0,41.0,55.0,61.0,54.0,34.0,59,40,57,50,55,69,79,-70,46,70,67,66,25
Hellmouth Sunbeams,37.0,38.0,40.0,35.0,47.0,54.0,59.0,51.0,33.0,68.0,58,52,56,58,42,37,47,-56,64,63,78,79,24
Mexico City Wild Wings,47.0,42.0,43.0,49.0,45.0,55.0,55.0,37.0,40.0,33.0,47,58,50,50,40,43,35,-25,26,37,73,52,14
Hades Tigers,63.0,70.0,68.0,55.0,57.0,51.0,64.0,59.0,53.0,62.0,74,58,61,58,52,38,61,-51,49,65,34,40,25
Canada Moist Talkers,55.0,53.0,53.0,55.0,48.0,42.0,48.0,50.0,67.0,65.0,54,58,69,63,61,54,42,-57,41,67,49,77,21
Houston Spies,46.0,49.0,37.0,43.0,42.0,49.0,58.0,64.0,60.0,59.0,49,62,49,45,58,58,61,-57,72,59,53,68,34
Miami Dale,45.0,40.0,47.0,39.0,37.0,46.0,43.0,45.0,44.0,48.0,47,55,46,57,38,58,61,-51,52,55,52,72,13
Seattle Garages,46.0,48.0,49.0,52.0,53.0,55.0,65.0,60.0,47.0,55.0,55,50,39,24,34,48,32,-36,26,40,61,67,27
Breckenridge Jazz Hands,55.0,50.0,58.0,58.0,59.0,55.0,42.0,46.0,41.0,46.0,57,43,43,45,40,53,35,-55,60,67,65,64,38
Tokyo Lift,,,,,,,,,,28.0,27,28,49,51,41,41,41,-48,58,42,42,73,10
Ohio Worms,,,,,,,,,,,0,14,46,42,64,56,52,-39,44,63,56,76,19
Core Mechanics,,,,,,,,,,,0,40,41,46,56,24,59,-50,69,75,62,40,16
Atlantis Georgias,,,,,,,,,,,0,33,30,34,44,47,51,-56,40,41,78,44,36
