season,BLACK_HOLE,CAUGHT_STEALING,CHARM_STRIKEOUT,CHARM_WALK,DOUBLE,ELSEWHERE_ATBAT,FIELDERS_CHOICE,HIT_BY_PITCH,HOME_RUN,HOME_RUN_5,IMMATERIA_SWEPT,MIND_TRICK_STRIKEOUT,MIND_TRICK_WALK,OUT,QUADRUPLE,SACRIFICE,SECRET_BASE_ENTER,SECRET_BASE_EXIT,SHELLED_ATBAT,SINGLE,STOLEN_BASE,STRIKEOUT,SUN_2,TRIPLE,UNKNOWN,UNKNOWN_OUT,WALK,WILD_PITCH
1,0,31,0,0,29,0,124,0,62,0,0,0,0,1044,0,26,0,0,0,389,32,241,0,48,0,30,165,0
2,0,1165,0,0,1073,0,4423,0,2357,0,0,0,0,36345,0,1031,0,0,0,13253,783,9909,0,2115,1025,152,4790,0
3,0,860,0,0,1932,0,3767,0,2240,0,0,0,0,34780,0,928,0,0,0,11429,1554,10783,0,1795,458,1768,4402,0
4,0,891,0,0,1945,0,3907,0,2392,0,0,0,0,37285,0,955,0,0,0,11743,1696,11169,0,1812,176,488,4576,0
5,0,879,0,0,1888,0,3732,0,2681,0,0,0,0,36965,0,968,0,0,33,11405,1688,11130,0,1759,153,326,4295,0
6,0,868,0,0,1830,0,3795,34,2766,0,0,0,0,37473,0,1008,0,0,662,11532,1861,11257,0,1719,174,305,4215,0
7,0,812,0,0,1831,0,3561,33,2659,0,0,0,0,37549,0,978,0,0,470,11620,1788,11494,0,1636,72,162,3926,0
8,0,800,0,0,1891,0,3545,36,2754,0,0,0,0,38154,0,1032,0,0,1340,11851,1817,11545,0,1792,97,75,3769,0
9,1,1194,90,97,1797,0,3142,0,706,2079,0,0,0,37790,326,603,0,0,0,11078,2917,12071,0,1680,104,116,3555,8
10,123,883,57,74,2093,0,3474,0,3159,0,0,0,0,38516,0,1191,0,0,0,12362,2052,10692,137,1876,36,12,5114,17
11,21,573,65,88,2599,331,2554,0,3091,0,152,0,0,34202,0,967,0,0,401,8997,1973,16111,23,1480,193,491,4220,15
12,34,834,56,68,3045,1540,3181,0,3419,0,298,0,0,41168,0,1160,0,0,1087,10357,3123,18619,28,1776,75,0,5915,13
13,9,644,34,93,2902,4976,2730,0,3427,0,500,0,0,41427,0,1046,0,0,259,10171,2333,20115,5,1901,98,0,4224,14
14,6,820,47,73,2959,2140,2559,31,3459,0,219,0,0,40936,0,1194,119,88,602,10146,2729,20748,7,1870,313,2,4257,12
15,12,825,86,87,3027,1174,2423,0,3504,0,137,0,0,41593,0,1139,378,309,544,10456,2805,20321,13,1864,266,9,3265,20
16,13,838,91,100,3071,1717,2287,0,3604,0,97,7,87,40869,0,1228,407,336,2103,10251,3010,20560,11,2000,299,0,2985,18
17,10,765,41,60,2983,2435,1831,0,3457,0,92,3,82,40851,0,1151,353,292,1797,9343,2865,21511,9,1940,553,0,1958,14
18,28,1085,85,68,3186,5840,2608,0,3376,0,169,24,82,44070,0,1673,463,350,280,10915,4444,15415,32,2026,610,0,5070,20
19,25,1254,69,59,3305,5510,2619,0,3396,68,200,15,69,44392,2,1601,499,385,732,11707,4602,16781,32,1889,3070,15,5007,8
20,26,1245,60,67,3016,4708,2437,0,3015,129,221,20,74,45306,7,1546,447,344,123,11609,4424,15722,21,1859,3185,0,4752,13
21,29,1159,49,62,3182,5769,2471,15,3233,90,190,23,66,45887,9,1591,584,456,838,11705,4522,14061,32,1825,3108,2,5265,12
22,13,365,8,15,962,1558,672,0,1045,0,50,5,14,12526,0,536,155,118,240,3191,1414,4161,10,678,956,3,1826,3
