"original_text","season","weather"
"A Debt was collected. Rogue Umpire incinerated Breath Mints hitter Boyfriend Monreal! Replaced by Pudge Nakatamo The Instability chains to the Garages's Tot Clark!",6,7
"A Debt was collected. Rogue Umpire incinerated Dale hitter Murray Pony! Replaced by Cannonball Sports The Instability chains to the Crabs's Pedro Davids!",6,7
"A Debt was collected. Rogue Umpire incinerated Millennials hitter Dominic Marijuana! Replaced by Charlatan Seabright The Instability chains to the Dale's Murray Pony!",6,7
"A Debt was collected. Rogue Umpire incinerated Moist Talkers hitter Antonio Wallace! Replaced by Beans McBlase The Instability chains to the Moist Talkers's Mooney Doctor!",6,7
"A Debt was collected. Rogue Umpire incinerated Moist Talkers hitter Elijah Bates! Replaced by Kiki Familia The Instability spreads to the Tigers's Yazmin Mason!",6,7
"A Debt was collected. Rogue Umpire incinerated Moist Talkers hitter Workman Gloom! Replaced by Commissioner Vapor The Instability chains to the Magic's Inky Rutledge!",6,7
"A Debt was collected. Rogue Umpire incinerated Steaks hitter Sebastian Telephone! Replaced by Gallup Crueller The Instability chains to the Tigers's Yazmin Mason!",6,7
"A Debt was collected. Rogue Umpire incinerated Tigers hitter Frasier Shmurmgle! Replaced by Usurper Violet The Instability chains to the Magic's Curry Aliciakeyes!",6,7
"A Debt was collected. Rogue Umpire incinerated Tigers hitter Mclaughlin Scorpler! Replaced by Frasier Shmurmgle The Instability spreads to the Moist Talkers's Antonio Wallace!",6,7
"A Debt was collected. Rogue Umpire incinerated Tigers hitter Moody Cookbook! Replaced by Carmelo Plums The Instability spreads to the Moist Talkers's Elijah Bates!",6,7
"A Debt was collected. Rogue Umpire incinerated Tigers pitcher Yazmin Mason! Replaced by Mummy Melcon The Instability chains to the Tigers's Frasier Shmurmgle!",6,7
"A Debt was collected. Rogue Umpire incinerated Wild Wings hitter Miguel Wheeler! Replaced by Case Sports The Instability chains to the Garages's Malik Destiny!",6,7
"Bright Zimmerman is Unstable! A Debt was collected. Rogue Umpire incinerated Bright Zimmerman! They're replaced by Scouse Bedazzle. The Instability chains to Scouse Bedazzle!",23,26
"Chorby Soul III is Unstable! A Debt was collected. Rogue Umpire incinerated Chorby Soul III! They're replaced by Zeruel Kramer. The Instability chains to Montgomery Bullock!",17,7
"Chorby Soul is Unstable! A Debt was collected. Rogue Umpire incinerated Chorby Soul! They're replaced by Mikan Hammer. The Instability chains to Alaynabella Hollywood!",15,7
"Chorby Soul is Unstable! A Debt was collected. Rogue Umpire incinerated Chorby Soul! They're replaced by Trinity Smaht. The Instability chains to Luis Acevedo!",16,7
"Gunther O'Brian is Unstable! A Debt was collected. Rogue Umpire incinerated Gunther O'Brian! They're replaced by Orion Ultrabass. The Instability chains to Kaz Fiasco!",22,7
"Helga Moreno is Unstable! A Debt was collected. Rogue Umpire incinerated Helga Moreno! They're replaced by Yulia Skitter. The Instability chains to Tot Fox!",22,7
"Helga Washington is Unstable! A Debt was collected. Rogue Umpire incinerated Helga Washington! They're replaced by Ryuji Ngozi. The Instability chains to Jon Halifax!",22,7
"Jon Halifax is Unstable! A Debt was collected. Rogue Umpire incinerated Jon Halifax! They're replaced by Khulan Sagaba. The Instability chains to -ilvia W-n-er!",22,7
"Lenny Marijuana is Unstable! A Debt was collected. Rogue Umpire incinerated Lenny Marijuana! They're replaced by Clarinet McCormick. The Instability chains to Montgomery Bullo-k!",23,26
"Luis Acevedo is Unstable! A Debt was collected. Rogue Umpire incinerated Luis Acevedo! They're replaced by Jon Halifax. The Instability chains to Parker Parra!",16,7
"Peanut Holloway is Unstable! A Debt was collected. Rogue Umpire incinerated Peanut Holloway! They're replaced by Will Statter Jr.. The Instability chains to Will Statter Jr.!",23,26
