,season,day,timestamp_feed,description,event_type,parent_description,parent_event_type,type_feed,fragment,timestamp_rng,player_name,type_rng,s0,s1,offset
0,11,78,2021-03-05 00:10:18+00:00,Roscoe Sundae has been hatched from the field of eggs.,137,"Rogue Umpire incinerated Case Sports!
They're replaced by Roscoe Sundae.",54,thwack,-1,,,,-1,-1,-1
1,11,78,2021-03-05 00:14:35+00:00,Gita Sparrow has been hatched from the field of eggs.,137,"Rogue Umpire incinerated Joshua Butt!
They're replaced by Gita Sparrow.",54,thwack,-1,,,,-1,-1,-1
2,11,84,2021-03-05 06:03:47+00:00,Kline Greenlemon is Partying!,117,Kline Greenlemon is Partying!,24,party,49,2021-03-05 06:04:00.858575+00:00,Kline Greenlemon,party,9390012456319296666,9309078490249614570,24
3,11,84,2021-03-05 06:13:29+00:00,Gerund Pantheocide is Partying!,117,Gerund Pantheocide is Partying!,24,party,-1,,,,-1,-1,-1
4,11,86,2021-03-05 08:12:58+00:00,Dickerson Morse is Partying!,117,Dickerson Morse is Partying!,24,party,-1,,,,-1,-1,-1
5,11,86,2021-03-05 08:13:49+00:00,Helga Moreno is Partying!,117,Helga Moreno is Partying!,24,party,49,2021-03-05 08:14:00.402460+00:00,Helga Moreno,party,10438318728311928354,7912123833171039456,16
6,11,87,2021-03-05 09:02:10+00:00,August Sky is Partying!,117,August Sky is Partying!,24,party,-1,,,,-1,-1,-1
7,11,87,2021-03-05 09:06:11+00:00,Cory Ross is Partying!,117,Cory Ross is Partying!,24,party,-1,,,,-1,-1,-1
8,11,87,2021-03-05 09:09:02+00:00,Nandy Slumps is Partying!,117,Nandy Slumps is Partying!,24,party,-1,,,,-1,-1,-1
9,11,87,2021-03-05 09:10:23+00:00,Knight Triumphant is Partying!,117,Knight Triumphant is Partying!,24,party,-1,,,,-1,-1,-1
10,11,87,2021-03-05 09:24:24+00:00,Don Mitchell is Partying!,117,Don Mitchell is Partying!,24,party,-1,,,,-1,-1,-1
11,11,88,2021-03-05 10:00:36+00:00,Patel Beyonce is Partying!,117,Patel Beyonce is Partying!,24,party,-1,,,,-1,-1,-1
12,11,88,2021-03-05 10:22:32+00:00,Blood Hamburger is Partying!,117,Blood Hamburger is Partying!,24,party,-1,,,,-1,-1,-1
13,11,89,2021-03-05 11:13:59+00:00,Blood Hamburger is Partying!,117,Blood Hamburger is Partying!,24,party,49,2021-03-05 11:14:01.307817+00:00,Blood Hamburger,party,15071427982795197748,11431233467669483830,20
14,11,89,2021-03-05 11:20:16+00:00,Sixpack Dogwalker is Partying!,117,Sixpack Dogwalker is Partying!,24,party,-1,,,,-1,-1,-1
15,11,89,2021-03-05 11:23:36+00:00,Richardson Games is Partying!,117,Richardson Games is Partying!,24,party,-1,,,,-1,-1,-1
