,Unnamed: 0,event_type,weather_roll,has_runner,mystery_roll,should_try_to_steal_roll,pitch_in_strike_zone_roll,batter_swings_roll,contact_roll,foul_roll,unknown_roll_1,hit_or_out_roll,unknown_roll_2,unknown_roll_3,unknown_roll_4,unknown_roll_5,unknown_roll_6,unknown_roll_7,fielder_selection_roll,unknown_after_fielder_selection_roll,bird_number_roll,bird_message_roll,thief,batter.thwackability,batter.moxie,batter.divinity,batter.musclitude,batter.patheticism,batter.buoyancy,batter.baseThirst,batter.laserlikeness,batter.groundFriction,batter.continuation,batter.indulgence,batter.martyrdom,batter.tragicness,batter.shakespearianism,batter.suppression,batter.unthwackability,batter.coldness,batter.overpowerment,batter.ruthlessness,batter.omniscience,batter.tenaciousness,batter.watchfulness,batter.anticapitalism,batter.chasiness,batter.pressurization,batter.cinnamon,pitcher.thwackability,pitcher.moxie,pitcher.divinity,pitcher.musclitude,pitcher.patheticism,pitcher.buoyancy,pitcher.baseThirst,pitcher.laserlikeness,pitcher.groundFriction,pitcher.continuation,pitcher.indulgence,pitcher.martyrdom,pitcher.tragicness,pitcher.shakespearianism,pitcher.suppression,pitcher.unthwackability,pitcher.coldness,pitcher.overpowerment,pitcher.ruthlessness,pitcher.omniscience,pitcher.tenaciousness,pitcher.watchfulness,pitcher.anticapitalism,pitcher.chasiness,pitcher.pressurization,pitcher.cinnamon,batter,pitcher,thief.thwackability,thief.moxie,thief.divinity,thief.musclitude,thief.patheticism,thief.buoyancy,thief.baseThirst,thief.laserlikeness,thief.groundFriction,thief.continuation,thief.indulgence,thief.martyrdom,thief.tragicness,thief.shakespearianism,thief.suppression,thief.unthwackability,thief.coldness,thief.overpowerment,thief.ruthlessness,thief.omniscience,thief.tenaciousness,thief.watchfulness,thief.anticapitalism,thief.chasiness,thief.pressurization,thief.cinnamon
0,0,EventType.StrikeLooking,0.1089542794891094,False,0.3807851184031467,,0.3515416548503953,0.1791609625086185,,,,,,,,,,,,,,,,0.7022587362242676,0.5360370270065851,0.8088506413301586,0.5447317125995685,0.1144272504177821,0.885056788414295,0.5019813176944115,0.4382731998927134,0.6543010879309619,0.7703597631858468,0.753369168572978,0.4202046908759163,0.1,0.3116662836676329,0.1379525731561217,0.0186862239227707,0.6372037551038263,0.3784491751376859,0.2081516937847605,0.1416787439634557,0.404989655422564,0.1750232498854644,0.7347059210128348,0.210872250201733,0.7609978072552137,0.6277302593031564,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,EventType.Foul,0.3528617836832393,False,0.2553870933651281,,0.622368278170375,0.2861488570704966,0.8437923258464304,0.2030253143288281,,,,,,,,,,,,,,0.7022587362242676,0.5360370270065851,0.8088506413301586,0.5447317125995685,0.1144272504177821,0.885056788414295,0.5019813176944115,0.4382731998927134,0.6543010879309619,0.7703597631858468,0.753369168572978,0.4202046908759163,0.1,0.3116662836676329,0.1379525731561217,0.0186862239227707,0.6372037551038263,0.3784491751376859,0.2081516937847605,0.1416787439634557,0.404989655422564,0.1750232498854644,0.7347059210128348,0.210872250201733,0.7609978072552137,0.6277302593031564,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,EventType.HomeRun,0.8592312155111432,False,0.1926665694046443,,0.418735326075444,0.0937595676517164,0.756948315985891,0.4991058884242425,0.2072493485396629,0.0869420005671879,0.0639078854943193,,,,,,,,,,,0.7022587362242676,0.5360370270065851,0.8088506413301586,0.5447317125995685,0.1144272504177821,0.885056788414295,0.5019813176944115,0.4382731998927134,0.6543010879309619,0.7703597631858468,0.753369168572978,0.4202046908759163,0.1,0.3116662836676329,0.1379525731561217,0.0186862239227707,0.6372037551038263,0.3784491751376859,0.2081516937847605,0.1416787439634557,0.404989655422564,0.1750232498854644,0.7347059210128348,0.210872250201733,0.7609978072552137,0.6277302593031564,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,EventType.StrikeLooking,0.984849491353248,False,0.9991777395022718,,0.6351725614216472,0.8921121029160051,,,,,,,,,,,,,,,,0.722698376772128,0.8417152961778871,0.9738658178668492,0.5401514342277669,0.5882915135341877,0.2178173266001308,0.8854592162924868,0.9397955117629953,0.500792928987684,0.2661696917021845,0.0883362081605478,0.2409011642832459,0.8111166826343146,0.3649201017796846,0.7813656752876832,0.6196979339151729,0.305825125851185,0.0001512546578643,0.7194623902577131,0.202361410445401,0.5426311497776553,0.9449966292868708,0.914585657943178,0.5995334995424131,0.874510487786416,0.620573979091436,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,EventType.HomeRun,0.8524675433362272,False,0.5907272276068369,,0.2745735697842866,0.1185666095290927,0.686941858285212,0.5663271106232262,0.3679643129349645,0.8317251327165405,0.1819674541697429,0.984226227520866,,,,,0.9825577954391748,,,,,0.722698376772128,0.8417152961778871,0.9738658178668492,0.5401514342277669,0.5882915135341877,0.2178173266001308,0.8854592162924868,0.9397955117629953,0.500792928987684,0.2661696917021845,0.0883362081605478,0.2409011642832459,0.8111166826343146,0.3649201017796846,0.7813656752876832,0.6196979339151729,0.305825125851185,0.0001512546578643,0.7194623902577131,0.202361410445401,0.5426311497776553,0.9449966292868708,0.914585657943178,0.5995334995424131,0.874510487786416,0.620573979091436,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,EventType.Foul,0.6761349055041492,False,0.5407409504733909,,0.581652963355652,0.656050291596648,0.8053578125512237,0.1797502375505704,,,,,,,,,,,,,,0.9232820621017052,0.7924746391865745,1.0264554950661913,1.1362941924123675,0.4059019895257245,0.7290386558929516,0.8937081572225478,0.3883179230872258,0.8970693806274312,0.7851231462319437,0.5791018871160651,1.3843961867934054,0.1,0.8057369039444793,0.8128774318124143,0.2101831639063582,0.3642490771184405,0.4992427934187828,0.3321803174782816,0.520428977901964,0.255718060430387,0.4669065120599864,0.5815585414248714,0.4921760105524166,0.1924054438117461,0.3542455840750931,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,EventType.StrikeLooking,0.9009721309587162,False,0.8959987376625285,,0.4390909018374274,0.8672732464287569,,,,,,,,,,,,,,,,0.9232820621017052,0.7924746391865745,1.0264554950661913,1.1362941924123675,0.4059019895257245,0.7290386558929516,0.8937081572225478,0.3883179230872258,0.8970693806274312,0.7851231462319437,0.5791018871160651,1.3843961867934054,0.1,0.8057369039444793,0.8128774318124143,0.2101831639063582,0.3642490771184405,0.4992427934187828,0.3321803174782816,0.520428977901964,0.255718060430387,0.4669065120599864,0.5815585414248714,0.4921760105524166,0.1924054438117461,0.3542455840750931,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,EventType.HomeRun,0.0772159982769127,True,0.9234012522021208,,0.2024739740686618,0.4703449792463861,0.2748618190538467,0.8466869581705405,0.0409503719184773,0.2759142611648193,0.570673569481015,0.9550820739056054,0.8742183117922051,0.9068898872455772,,,,,,,,0.9232820621017052,0.7924746391865745,1.0264554950661913,1.1362941924123675,0.4059019895257245,0.7290386558929516,0.8937081572225478,0.3883179230872258,0.8970693806274312,0.7851231462319437,0.5791018871160651,1.3843961867934054,0.1,0.8057369039444793,0.8128774318124143,0.2101831639063582,0.3642490771184405,0.4992427934187828,0.3321803174782816,0.520428977901964,0.255718060430387,0.4669065120599864,0.5815585414248714,0.4921760105524166,0.1924054438117461,0.3542455840750931,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,EventType.StrikeLooking,0.5080609428269052,True,0.4776991782282993,0.2645314614676346,0.1735391717505192,0.9631542681094454,,,,,,,,,,,,,,,,0.5048007715576763,0.8261238007624416,0.240079216287506,0.232329706400485,0.9794611915455498,0.9183667079592988,0.36440227311705,0.1267479501300297,0.923415251715068,0.997490191507714,0.1157282658953346,0.3680403977405695,0.1,0.6060489071593127,0.19291475376551,0.270367257039239,0.5653577916953503,0.3420923362113508,0.902749911043266,0.6116347518355054,0.1885249967701228,0.2146335365930241,0.2956562400817575,0.7051626191381397,0.5024576781229815,0.8338978092930149,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,EventType.HomeRun,0.9912008229938184,True,0.2704860335516506,0.6023903054735396,0.3208382787029817,0.3515376532051162,0.1480990863455928,0.7313941452504689,0.9676152958429204,0.085919421850019,0.7295018846846371,0.1451576399106828,0.8490733237508636,0.3719065949570166,,,,,,,,0.5048007715576763,0.8261238007624416,0.240079216287506,0.232329706400485,0.9794611915455498,0.9183667079592988,0.36440227311705,0.1267479501300297,0.923415251715068,0.997490191507714,0.1157282658953346,0.3680403977405695,0.1,0.6060489071593127,0.19291475376551,0.270367257039239,0.5653577916953503,0.3420923362113508,0.902749911043266,0.6116347518355054,0.1885249967701228,0.2146335365930241,0.2956562400817575,0.7051626191381397,0.5024576781229815,0.8338978092930149,0.0954942182648388,0.9481772935890836,0.6466601264001044,0.3294607416748534,0.919582617799636,0.904207509135099,0.1108326987822363,0.6248356573358633,0.4759993527293666,0.5688132605062097,0.0130983493813003,0.3847666905631948,0.1,0.1868339376895114,0.1269079777394932,0.7783984881467316,0.6325748296367963,0.6240859001142638,0.8999049478812817,0.9843276023178912,0.6602431928130081,0.0262161885901093,0.5161477530232157,0.937514120052508,0.3856185779831285,0.06544767831993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
