season,weather,name,unstable
6,7,Pudge Nakatamo,True
6,7,Cannonball Sports,True
6,7,Charlatan Seabright,True
6,7,Beans McBlase,True
6,7,Kiki Familia,True
6,7,Commissioner Vapor,True
6,7,Gallup Crueller,True
6,7,Usurper Violet,True
6,7,Frasier Shmurmgle,True
6,7,Carmelo Plums,True
6,7,Mummy Melcon,True
6,7,Case Sports,True
23,26,Scouse Bedazzle,True
17,7,Zeruel Kramer,True
15,7,Mikan Hammer,True
16,7,Trinity Smaht,True
22,7,Orion Ultrabass,True
22,7,Yulia Skitter,True
22,7,Ryuji Ngozi,True
22,7,Khulan Sagaba,True
23,26,Clarinet McCormick,True
16,7,Jon Halifax,True
23,26,Will Statter Jr,True
23,26,Ruffian Scrobbles,False
19,7,Vernon Shotwell,False
16,7,Frankie Incarnate,False
12,7,Loubert Ji-Eun,False
17,7,Scarlet Caster,False
17,7,Lancelot Kane,False
3,7,Lenny Spruce,False
3,7,Stew Briggs,False
21,7,Backpatch Rolsenthal,False
18,7,Geepa Beanpot,False
11,7,Roscoe Sundae,False
12,7,Dervin Gorczyca,False
3,7,Finn James,False
8,7,Silvaire Roadhouse,False
2,7,Sixpack Santiago,False
7,7,Goobie Ballson,False
2,7,Hotbox Sato,False
5,7,Hiroto Cerna,False
2,7,Vito Kravitz,False
2,7,Caligula Lotus,False
3,7,Gloria Bugsnax,False
3,7,Inez Owens,False
2,7,Basilio Fig,False
2,7,Juice Collins,False
3,7,Sixpack Dogwalker,False
2,7,Evelton McBlase,False
2,7,Tiana Cash,False
2,7,Greer Gwiffin,False
20,7,Steals Mondegreen,False
21,7,Pannonica Oko,False
12,7,Jasper Blather,False
16,7,Jon Tumblehome,False
17,7,Trinity Roche,False
16,7,Allan Kranch,False
12,7,Alx Keming,False
18,7,Millipede Aqualuft,False
5,7,Steph Weeks,False
2,7,August Sky,False
11,7,Gita Sparrow,False
12,7,Tai Beanbag,False
18,7,Bobbin Moss,False
2,7,Kennedy Meh,False
2,7,Sandford Garner,False
9,7,Bonk Jokes,False
4,7,Annie Roland,False
2,7,Sandie Turner,False
6,7,Nandy Fantastic,False
2,7,Lachlan Shelton,False
6,7,Quack Enjoyable,False
2,7,Ziwa Mueller,False
15,7,Salih Ultrabass,False
14,7,Rat Batson,False
19,7,Clove Ji-Eun,False
12,7,Yrjö Kerfuffle,False
5,7,Alston Cerveza,False
7,7,Rai Spliff,False
2,7,Eduardo Woodman,False
5,7,Jaxon Buckley,False
9,7,Yusef Puddles,False
16,7,Donna Milicic,False
22,7,Scoobert Toast,False
12,7,Riley Firewall,False
12,7,Adelaide Judochop,False
13,7,Bennett Bluesky,False
2,7,Sebastian Woodman,False
2,7,Blood Hamburger,False
2,7,Atlas Jonbois,False
2,7,Gunther O'Brian,False
13,7,Jomgy Rolsenthal,False
18,7,Lenjamin Zhuge,False
2,7,Fitzgerald Blackburn,False
2,7,Kline Greenlemon,False
3,7,Combs Estes,False
16,7,Rylan O'Lantern,False
4,7,Sutton Bishop,False
2,7,Dudley Mueller,False
2,7,Alexander Horne,False
12,7,Kaj Statter Jr,False
12,7,Kurt Crueller,False
2,7,Emmett Owens,False
17,7,Zippy DeShields,False
12,7,Norris Firestar,False
2,7,Paula Turnip,False
23,26,Marion Shriffle,False
18,7,Nickname Yamashita,False
15,7,Anathema Elemefayo,False
21,7,Kevelyn Jeff,False
13,7,Lucien Patchwork,False
