"team","nickname","opponent","day","differential"
"878c1bf6-0d21-4659-bfee-916c8314d69c","Tacos","9debc64f-74b7-4ae1-a4d6-fce0144b6ea5",0,-6
"57ec08cc-0411-4643-b304-0e80dbc15ac7","Wild Wings","c73b705c-40ad-4633-a6ed-d357ee2e2bcf",0,-1
"bfd38797-8404-4b38-8b82-341da28b1f83","Shoe Thieves","979aee4a-6d80-4863-bf1c-ee1a78e06024",0,-4
"ca3f1c8c-c025-4d8e-8eef-5be6accbeb16","Firefighters","d9f89a8a-c563-493e-9d64-78e4f9a55d4a",0,2
"3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e","Flowers","f02aeae2-5e6a-4098-9842-02d2273f25c7",0,-6
"36569151-a2fb-43c1-9df7-2df512424c82","Millennials","b72f3061-f573-40d7-832a-5ad475bd7909",0,1.7
"b024e975-1c4a-4575-8936-a3754a08806a","Steaks","105bc3ff-1320-4e37-8ef0-8d595cb95dd0",0,1
"23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7","Pies","46358869-dce9-4a01-bfba-ac24fc56f57e",0,-6
"b63be8c2-576a-4d6e-8daf-814f8bcea96f","Dale","747b8e4a-7e50-4638-a973-ea7950a3e739",0,2
"7966eb04-efcc-499b-8f03-d13916330531","Magic","adc5b394-8f76-416d-9ce9-813706877b84",0,-1
"eb67ae5e-c4bf-46ca-bbbc-425cd34182ff","Moist Talkers","8d87c468-699a-47a8-b40d-cfb73a5660ad",0,1
"bb4a9de5-c924-4923-a0cb-9d1445f1ee5d","Worms","a37f9158-7f82-46bc-908c-c9e2dda7c33b",0,4
"36569151-a2fb-43c1-9df7-2df512424c82","Millennials","b72f3061-f573-40d7-832a-5ad475bd7909",1,-3
"bb4a9de5-c924-4923-a0cb-9d1445f1ee5d","Worms","a37f9158-7f82-46bc-908c-c9e2dda7c33b",1,7
"3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e","Flowers","f02aeae2-5e6a-4098-9842-02d2273f25c7",1,-4
"23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7","Pies","46358869-dce9-4a01-bfba-ac24fc56f57e",1,-1
"57ec08cc-0411-4643-b304-0e80dbc15ac7","Wild Wings","c73b705c-40ad-4633-a6ed-d357ee2e2bcf",1,6
"7966eb04-efcc-499b-8f03-d13916330531","Magic","adc5b394-8f76-416d-9ce9-813706877b84",1,3
"b024e975-1c4a-4575-8936-a3754a08806a","Steaks","105bc3ff-1320-4e37-8ef0-8d595cb95dd0",1,-2
"b63be8c2-576a-4d6e-8daf-814f8bcea96f","Dale","747b8e4a-7e50-4638-a973-ea7950a3e739",1,4
"878c1bf6-0d21-4659-bfee-916c8314d69c","Tacos","9debc64f-74b7-4ae1-a4d6-fce0144b6ea5",1,3
"bfd38797-8404-4b38-8b82-341da28b1f83","Shoe Thieves","979aee4a-6d80-4863-bf1c-ee1a78e06024",1,2
