"team","nickname","opponent","day","differential"
"105bc3ff-1320-4e37-8ef0-8d595cb95dd0","Garages","8d87c468-699a-47a8-b40d-cfb73a5660ad",0,2
"23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7","Pies","b72f3061-f573-40d7-832a-5ad475bd7909",0,2
"36569151-a2fb-43c1-9df7-2df512424c82","Millennials","b024e975-1c4a-4575-8936-a3754a08806a",0,-3
"3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e","Flowers","d9f89a8a-c563-493e-9d64-78e4f9a55d4a",0,-6
"46358869-dce9-4a01-bfba-ac24fc56f57e","Mechanics","979aee4a-6d80-4863-bf1c-ee1a78e06024",0,-7
"57ec08cc-0411-4643-b304-0e80dbc15ac7","Wild Wings","a37f9158-7f82-46bc-908c-c9e2dda7c33b",0,5
"878c1bf6-0d21-4659-bfee-916c8314d69c","Tacos","f02aeae2-5e6a-4098-9842-02d2273f25c7",0,-1
"9debc64f-74b7-4ae1-a4d6-fce0144b6ea5","Spies","ca3f1c8c-c025-4d8e-8eef-5be6accbeb16",0,1
"adc5b394-8f76-416d-9ce9-813706877b84","Breath Mints","7966eb04-efcc-499b-8f03-d13916330531",0,1
"b63be8c2-576a-4d6e-8daf-814f8bcea96f","Dale","747b8e4a-7e50-4638-a973-ea7950a3e739",0,1
"bfd38797-8404-4b38-8b82-341da28b1f83","Shoe Thieves","eb67ae5e-c4bf-46ca-bbbc-425cd34182ff",0,-3
"c73b705c-40ad-4633-a6ed-d357ee2e2bcf","Lift","bb4a9de5-c924-4923-a0cb-9d1445f1ee5d",0,2
"105bc3ff-1320-4e37-8ef0-8d595cb95dd0","Garages","8d87c468-699a-47a8-b40d-cfb73a5660ad",1,-1
"23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7","Pies","b72f3061-f573-40d7-832a-5ad475bd7909",1,-4
"36569151-a2fb-43c1-9df7-2df512424c82","Millennials","b024e975-1c4a-4575-8936-a3754a08806a",1,-1
"3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e","Flowers","d9f89a8a-c563-493e-9d64-78e4f9a55d4a",1,-6
"46358869-dce9-4a01-bfba-ac24fc56f57e","Mechanics","979aee4a-6d80-4863-bf1c-ee1a78e06024",1,-2
"57ec08cc-0411-4643-b304-0e80dbc15ac7","Wild Wings","a37f9158-7f82-46bc-908c-c9e2dda7c33b",1,-2
"878c1bf6-0d21-4659-bfee-916c8314d69c","Tacos","f02aeae2-5e6a-4098-9842-02d2273f25c7",1,3
"9debc64f-74b7-4ae1-a4d6-fce0144b6ea5","Spies","ca3f1c8c-c025-4d8e-8eef-5be6accbeb16",1,-6
"adc5b394-8f76-416d-9ce9-813706877b84","Breath Mints","7966eb04-efcc-499b-8f03-d13916330531",1,1
"b63be8c2-576a-4d6e-8daf-814f8bcea96f","Dale","747b8e4a-7e50-4638-a973-ea7950a3e739",1,-1
"bfd38797-8404-4b38-8b82-341da28b1f83","Shoe Thieves","eb67ae5e-c4bf-46ca-bbbc-425cd34182ff",1,2
"c73b705c-40ad-4633-a6ed-d357ee2e2bcf","Lift","bb4a9de5-c924-4923-a0cb-9d1445f1ee5d",1,1
"105bc3ff-1320-4e37-8ef0-8d595cb95dd0","Garages","8d87c468-699a-47a8-b40d-cfb73a5660ad",2,1
"23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7","Pies","b72f3061-f573-40d7-832a-5ad475bd7909",2,8
"36569151-a2fb-43c1-9df7-2df512424c82","Millennials","b024e975-1c4a-4575-8936-a3754a08806a",2,-0.8
"3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e","Flowers","d9f89a8a-c563-493e-9d64-78e4f9a55d4a",2,6
"46358869-dce9-4a01-bfba-ac24fc56f57e","Mechanics","979aee4a-6d80-4863-bf1c-ee1a78e06024",2,1
"57ec08cc-0411-4643-b304-0e80dbc15ac7","Wild Wings","a37f9158-7f82-46bc-908c-c9e2dda7c33b",2,1
"878c1bf6-0d21-4659-bfee-916c8314d69c","Tacos","f02aeae2-5e6a-4098-9842-02d2273f25c7",2,2
"9debc64f-74b7-4ae1-a4d6-fce0144b6ea5","Spies","ca3f1c8c-c025-4d8e-8eef-5be6accbeb16",2,4
"adc5b394-8f76-416d-9ce9-813706877b84","Breath Mints","7966eb04-efcc-499b-8f03-d13916330531",2,2
"b63be8c2-576a-4d6e-8daf-814f8bcea96f","Dale","747b8e4a-7e50-4638-a973-ea7950a3e739",2,2
"bfd38797-8404-4b38-8b82-341da28b1f83","Shoe Thieves","eb67ae5e-c4bf-46ca-bbbc-425cd34182ff",2,-3
"c73b705c-40ad-4633-a6ed-d357ee2e2bcf","Lift","bb4a9de5-c924-4923-a0cb-9d1445f1ee5d",2,-1
"105bc3ff-1320-4e37-8ef0-8d595cb95dd0","Garages","23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7",3,2
"3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e","Flowers","f02aeae2-5e6a-4098-9842-02d2273f25c7",3,6
