"num_events","num_tunnels","watchfulness"
3301.99999999999999999344,7,0.0
8809.99999999999999997034,8,0.1
25396.99999999999999989473,24,0.2
30000.99999999999999987951,35,0.3
15038.99999999999999995816,14,0.4
31089.99999999999999986068,33,0.5
38319.99999999999999986666,48,0.6
23017.99999999999999991550,26,0.7
46665.99999999999999978442,54,0.8
36888.99999999999999990923,42,0.9
28076.99999999999999984576,27,1.0
21436.99999999999999989658,16,1.1
6715.99999999999999996945,8,1.2
15378.99999999999999991674,15,1.3
2691.99999999999999998406,1,1.4
6206.99999999999999997037,6,1.5
831.99999999999999999746,2,1.6
930.00000000000000000000,0,NULL
