"num_events","num_tunnels","laserlikeness"
1653.53333333333333332326,3,0.0
16594.64999999999999995655,11,0.1
20488.91666666666666663813,15,0.2
44109.96666666666666644376,35,0.3
36940.14166666666666658826,41,0.4
20190.58095238095238086366,26,0.5
33261.69642857142857125126,43,0.6
25039.00238095238095226589,35,0.7
30651.62261904761904741657,34,0.8
42639.64404761904761884505,43,0.9
15165.66071428571428562937,9,1.0
18944.78809523809523804360,26,1.1
11751.13333333333333331756,21,1.2
4004.69642857142857137957,6,1.3
8166.80000000000000000031,11,1.4
2842.16666666666666666334,1,1.5
5022.00000000000000000000,5,1.8
273.00000000000000000000,0,NULL
